training_idx,model_name,optimizer,optimizer_kwargs,loss,loss_kwargs,compile_kwargs,fit_kwargs,dataset,dataset_description,dataset_params,results,date,time
24,AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1590506285429, 'best_loss_epoch': 14, 'best_val_loss': 0.1584358066320419, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8409497737884521, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8415644764900208, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1590506285429, 'last_ssim_metric': 0.8409497737884521, 'last_epoch': 14}",2022-02-12,03:42
25,Unet2.3-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 25, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.2898546755313873, 'best_loss_epoch': 24, 'best_val_loss': 0.2663868963718414, 'best_val_loss_epoch': 18, 'best_ssim_metric': 0.8474166989326477, 'best_ssim_metric_epoch': 24, 'best_val_ssim_metric': 0.8481829166412354, 'best_val_ssim_metric_epoch': 24, 'last_loss': 0.2898546755313873, 'last_ssim_metric': 0.8474166989326477, 'last_epoch': 24}",2022-02-13,12:31
26,Conv-8.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1579610705375671, 'best_loss_epoch': 14, 'best_val_loss': 0.1579305082559585, 'best_val_loss_epoch': 12, 'best_ssim_metric': 0.8420382738113403, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8420697450637817, 'best_val_ssim_metric_epoch': 12, 'last_loss': 0.1579610705375671, 'last_ssim_metric': 0.8420382738113403, 'last_epoch': 14}",2022-02-12,06:34
27,Unet2.1-64x64.json,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 25, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1501829326152801, 'best_loss_epoch': 24, 'best_val_loss': 0.149885281920433, 'best_val_loss_epoch': 24, 'best_ssim_metric': 0.8498169779777527, 'best_ssim_metric_epoch': 24, 'best_val_ssim_metric': 0.8501147627830505, 'best_val_ssim_metric_epoch': 24, 'last_loss': 0.1501829326152801, 'last_ssim_metric': 0.8498169779777527, 'last_epoch': 24}",2022-02-13,12:59
28,AutoEncoder-1.1-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1542059630155563, 'best_loss_epoch': 14, 'best_val_loss': 0.1544266939163208, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8457944393157959, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8455735445022583, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1542059630155563, 'last_ssim_metric': 0.8457944393157959, 'last_epoch': 14}",2022-02-12,11:20
29,AutoEncoder-1.2-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1522818356752395, 'best_loss_epoch': 14, 'best_val_loss': 0.1519102305173874, 'best_val_loss_epoch': 12, 'best_ssim_metric': 0.8477173447608948, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.848089337348938, 'best_val_ssim_metric_epoch': 12, 'last_loss': 0.1522818356752395, 'last_ssim_metric': 0.8477173447608948, 'last_epoch': 14}",2022-02-12,11:45
30,AutoEncoder-1.4-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.2239315211772918, 'best_loss_epoch': 14, 'best_val_loss': 0.2239720970392227, 'best_val_loss_epoch': 13, 'best_ssim_metric': 0.7760687470436096, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.7760279774665833, 'best_val_ssim_metric_epoch': 13, 'last_loss': 0.2239315211772918, 'last_ssim_metric': 0.7760687470436096, 'last_epoch': 14}",2022-02-12,12:09
31,Conv-4.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1918147057294845, 'best_loss_epoch': 13, 'best_val_loss': 0.1916329860687255, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8081857562065125, 'best_ssim_metric_epoch': 13, 'best_val_ssim_metric': 0.8083664774894714, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1918380707502365, 'last_ssim_metric': 0.8081623315811157, 'last_epoch': 14}",2022-02-12,12:31
32,Conv-5.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1700216382741928, 'best_loss_epoch': 14, 'best_val_loss': 0.1700577586889267, 'best_val_loss_epoch': 13, 'best_ssim_metric': 0.8299791216850281, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8299424648284912, 'best_val_ssim_metric_epoch': 13, 'last_loss': 0.1700216382741928, 'last_ssim_metric': 0.8299791216850281, 'last_epoch': 14}",2022-02-12,12:54
33,AutoEncoder-1.1-64x64,SGD,"{'learning_rate': 0.005, 'momentum': 0.8}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.169247031211853, 'best_loss_epoch': 14, 'best_val_loss': 0.1683303415775299, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.830752968788147, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8316691517829895, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.169247031211853, 'last_ssim_metric': 0.830752968788147, 'last_epoch': 14}",2022-02-12,14:29
34,Conv-3.3-64x64,SGD,"{'learning_rate': 0.005, 'momentum': 0.8}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1778554916381836, 'best_loss_epoch': 14, 'best_val_loss': 0.176772266626358, 'best_val_loss_epoch': 12, 'best_ssim_metric': 0.8221449255943298, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8232277631759644, 'best_val_ssim_metric_epoch': 12, 'last_loss': 0.1778554916381836, 'last_ssim_metric': 0.8221449255943298, 'last_epoch': 14}",2022-02-12,15:11
35,Conv-1.0-64x64,SGD,"{'learning_rate': 0.005, 'momentum': 0.8}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.246438667178154, 'best_loss_epoch': 14, 'best_val_loss': 0.2461902648210525, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.75356125831604, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.7538102269172668, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.246438667178154, 'last_ssim_metric': 0.75356125831604, 'last_epoch': 14}",2022-02-12,15:53
36,Unet2.3-64x64,SGD,"{'learning_rate': 0.005, 'momentum': 0.8}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.2174253165721893, 'best_loss_epoch': 14, 'best_val_loss': 0.2127129137516021, 'best_val_loss_epoch': 13, 'best_ssim_metric': 0.8367644548416138, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8413422107696533, 'best_val_ssim_metric_epoch': 13, 'last_loss': 0.2174253165721893, 'last_ssim_metric': 0.8367644548416138, 'last_epoch': 14}",2022-02-12,18:16
37,AutoEncoder-1.1-64x64,SGD,"{'learning_rate': 0.01, 'momentum': 0.7}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1682169139385223, 'best_loss_epoch': 14, 'best_val_loss': 0.1673520356416702, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8317838907241821, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8326478600502014, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1682169139385223, 'last_ssim_metric': 0.8317838907241821, 'last_epoch': 14}",2022-02-13,01:25
38,Conv-3.3-64x64,SGD,"{'learning_rate': 0.01, 'momentum': 0.7}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.178263634443283, 'best_loss_epoch': 14, 'best_val_loss': 0.1762635707855224, 'best_val_loss_epoch': 10, 'best_ssim_metric': 0.8217364549636841, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8237362504005432, 'best_val_ssim_metric_epoch': 10, 'last_loss': 0.178263634443283, 'last_ssim_metric': 0.8217364549636841, 'last_epoch': 14}",2022-02-13,01:35
39,AutoEncoder-1.1-64x64,SGD,"{'learning_rate': 0.01, 'momentum': 0.9}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 19, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1642560511827469, 'best_loss_epoch': 18, 'best_val_loss': 0.1636411547660827, 'best_val_loss_epoch': 18, 'best_ssim_metric': 0.8357442021369934, 'best_ssim_metric_epoch': 18, 'best_val_ssim_metric': 0.8363581895828247, 'best_val_ssim_metric_epoch': 18, 'last_loss': 0.1642560511827469, 'last_ssim_metric': 0.8357442021369934, 'last_epoch': 18}",2022-02-13,01:52
40,Conv-3.3-64x64,SGD,"{'learning_rate': 0.01, 'momentum': 0.9}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1811902672052383, 'best_loss_epoch': 14, 'best_val_loss': 0.1775829792022705, 'best_val_loss_epoch': 12, 'best_ssim_metric': 0.818809986114502, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8224167823791504, 'best_val_ssim_metric_epoch': 12, 'last_loss': 0.1811902672052383, 'last_ssim_metric': 0.818809986114502, 'last_epoch': 14}",2022-02-13,01:59
41,Conv-1.0-64x64,SGD,"{'learning_rate': 0.01, 'momentum': 0.9}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.244459331035614, 'best_loss_epoch': 14, 'best_val_loss': 0.2443414032459259, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.7555406093597412, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.7556583881378174, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.244459331035614, 'last_ssim_metric': 0.7555406093597412, 'last_epoch': 14}",2022-02-13,02:04
42,AutoEncoder-1.1-64x64,SGD,"{'learning_rate': 0.01, 'momentum': 0.95}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 20, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1610163003206253, 'best_loss_epoch': 19, 'best_val_loss': 0.160407617688179, 'best_val_loss_epoch': 18, 'best_ssim_metric': 0.8389837741851807, 'best_ssim_metric_epoch': 19, 'best_val_ssim_metric': 0.8395922780036926, 'best_val_ssim_metric_epoch': 18, 'last_loss': 0.1610163003206253, 'last_ssim_metric': 0.8389837741851807, 'last_epoch': 19}",2022-02-13,02:21
43,Conv-3.3-64x64,SGD,"{'learning_rate': 0.01, 'momentum': 0.95}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 20, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1840064227581024, 'best_loss_epoch': 19, 'best_val_loss': 0.1770641654729843, 'best_val_loss_epoch': 19, 'best_ssim_metric': 0.815993070602417, 'best_ssim_metric_epoch': 19, 'best_val_ssim_metric': 0.822935938835144, 'best_val_ssim_metric_epoch': 19, 'last_loss': 0.1840064227581024, 'last_ssim_metric': 0.815993070602417, 'last_epoch': 19}",2022-02-13,02:31
44,Conv-1.0-64x64,SGD,"{'learning_rate': 0.01, 'momentum': 0.95}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 20, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.2408889234066009, 'best_loss_epoch': 19, 'best_val_loss': 0.2408550977706909, 'best_val_loss_epoch': 19, 'best_ssim_metric': 0.7591106295585632, 'best_ssim_metric_epoch': 19, 'best_val_ssim_metric': 0.7591445446014404, 'best_val_ssim_metric_epoch': 19, 'last_loss': 0.2408889234066009, 'last_ssim_metric': 0.7591106295585632, 'last_epoch': 19}",2022-02-13,02:37
45,AutoEncoder-2.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 27, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1442954540252685, 'best_loss_epoch': 26, 'best_val_loss': 0.1460430920124054, 'best_val_loss_epoch': 22, 'best_ssim_metric': 0.855703592300415, 'best_ssim_metric_epoch': 26, 'best_val_ssim_metric': 0.8539567589759827, 'best_val_ssim_metric_epoch': 22, 'last_loss': 0.1442954540252685, 'last_ssim_metric': 0.855703592300415, 'last_epoch': 26}",2022-02-13,14:14
46,AutoEncoder-2.1-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 53, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1362939178943634, 'best_loss_epoch': 52, 'best_val_loss': 0.143561452627182, 'best_val_loss_epoch': 47, 'best_ssim_metric': 0.8637063503265381, 'best_ssim_metric_epoch': 52, 'best_val_ssim_metric': 0.8564386963844299, 'best_val_ssim_metric_epoch': 47, 'last_loss': 0.1362939178943634, 'last_ssim_metric': 0.8637063503265381, 'last_epoch': 52}",2022-02-13,15:07
47,AutoEncoder-2.2-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 51, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1379939913749694, 'best_loss_epoch': 50, 'best_val_loss': 0.1431036591529846, 'best_val_loss_epoch': 47, 'best_ssim_metric': 0.8620054721832275, 'best_ssim_metric_epoch': 50, 'best_val_ssim_metric': 0.8568964600563049, 'best_val_ssim_metric_epoch': 47, 'last_loss': 0.1379939913749694, 'last_ssim_metric': 0.8620054721832275, 'last_epoch': 50}",2022-02-13,15:02
48,AutoEncoder-2.3-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 37, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1404361724853515, 'best_loss_epoch': 36, 'best_val_loss': 0.1437531262636184, 'best_val_loss_epoch': 29, 'best_ssim_metric': 0.8595648407936096, 'best_ssim_metric_epoch': 36, 'best_val_ssim_metric': 0.8562464714050293, 'best_val_ssim_metric_epoch': 29, 'last_loss': 0.1404361724853515, 'last_ssim_metric': 0.8595648407936096, 'last_epoch': 36}",2022-02-13,14:54
